,artist,song,genres,year,key,mode,duration,bpm
6137,Creedence Clearwater Revival,I Heard It Through the Grapevine,Rock,1970,C,major,11:04,119BPM
6138,Blue Öyster Cult,Cities On Flame with Rock and Roll,Rock,1972,E,major,4:03,178BPM
6139,ZZ Top,Jesus Just Left Chicago,Rock,1973,C,major,3:28,216BPM
6140,Bob Dylan,You Ain't Going Nowhere,Rock,1971,,,,
6141,David Bowie,Joe the Lion,Rock,1977,,,,
6142,Area,"Luglio, agosto, settembre (nero)",Rock,1973,F,minor,4:23,127BPM
6143,Boney M,Daddy Cool,Dance,1976,F,minor,3:26,125BPM
6144,The Stranglers,Nice 'n' Sleazy,Rock,1978,B,minor,3:14,104BPM
6145,Genesis,The Knife,Rock,1970,C♯/D♭,major,9:00,142BPM
6146,Supertramp,Child of Vision,Pop,1979,C,minor,7:26,85BPM
6147,Mia Martini,Minuetto,Pop,1973,A,major,4:44,191BPM
6148,Electric Light Orchestra,Last Train to London,Dance,1979,G,major,4:30,121BPM
6149,David Bowie,Look Back in Anger,Rock,1979,,,,
6150,Neil Young,Harvest,Rock,1972,,,,
6151,Gary Glitter,Do You Wanna Touch Me? (Oh Yeah),Rock,1973,,,,
6152,New York Dolls,Trash,Rock,1973,G,major,3:08,113BPM
6153,Yes,Siberian Khatru,Rock,1972,B,minor,8:55,119BPM
6154,The Rolling Stones,I Just Want to See His Face,Rock,1972,C,major,2:53,78BPM
6155,Grateful Dead,Wharf Rat,Rock,1971,,,,
6156,The Incredible String Band,Dear Old Battlefield,Rock,1972,,,,
6157,First Choice,Doctor Love,Dance,1977,G♯/A♭,major,8:20,118BPM
6158,REO Speedwagon,Ridin' the Storm Out,Rock,1973,A,minor,4:12,135BPM
6159,Odyssey,Native New Yorker,Dance,1977,C♯/D♭,major,3:27,109BPM
6160,Sex Pistols,Submission,Rock,1977,E,major,4:01,136BPM
6161,Adam and The Ants,Zerox,Rock,1979,,,,
6162,Funky Four Plus One,Rappin' and Rocking the House,Hip Hop,1979,,,,
6163,Rory Gallagher,Shadow Play,Rock,1978,D,minor,4:47,157BPM
6164,Kermit [Jim Henson],Rainbow Connection,Pop,1979,,,,
6165,Charlie Rich,I Feel Like Going Home,Pop,1973,G♯/A♭,major,4:30,98BPM
6166,Richard and Linda Thompson,The End of the Rainbow,Rock,1974,,,,
6167,"Emerson, Lake & Palmer",Still... You Turn Me On,Rock,1973,,,,
6168,Gang of Four,I Found That Essence Rare,Rock,1979,D♯/E♭,major,3:30,153BPM
6169,The Stranglers,Something Better Change,Rock,1977,B,major,3:37,136BPM
6170,C.J. and Co.,Devil's Gun,Dance,1977,,,,
6171,Jefferson Starship,Jane,Rock,1979,D,major,4:13,117BPM
