,artist,song,genres,year,key,mode,duration,bpm
44,Leonard Cohen,You Want It Darker,Pop,2016,E,minor,4:44,109BPM
45,Travis Scott feat. Drake,Sicko Mode,Hip Hop,2018,,,,
46,Cardi B feat. Bad Bunny and J Balvin,I Like It,Hip Hop,2018,,,,
47,Vampire Weekend,Harmony Hall,Pop,2019,B,major,5:09,98BPM
48,Car Seat Headrest,Drunk Drivers/Killer Whales,Rock,2016,,,,
49,Kanye West,Black Skinhead,Hip Hop,2013,C♯/D♭,major,3:08,130BPM
50,A Tribe Called Quest,We the People...,Hip Hop,2016,,,,
51,Vince Staples,Norf Norf,Hip Hop,2015,G,major,3:03,100BPM
52,Rae Sremmurd feat. Gucci Mane,Black Beatles,Hip Hop,2016,,,,
53,Arcade Fire,The Suburbs,Rock,2010,F♯/G♭,minor,5:15,118BPM
54,King Krule,Dum Surfer,Rock,2017,D,major,4:23,120BPM
55,Vampire Weekend,Step,Pop,2013,A♯/B♭,major,4:12,78BPM
56,Chance the Rapper feat. Lil Wayne & 2 Chainz,No Problem,Hip Hop,2016,,,,
57,The Knife,Full of Fire,Dance,2013,A,major,9:17,143BPM
58,St. Vincent,Digital Witness,Pop,2014,F,major,3:22,105BPM
59,Kanye West feat. Rihanna,All of the Lights,Hip Hop,2010,,,,
60,Lil Uzi Vert,XO Tour Llif3,Hip Hop,2017,B,minor,3:03,155BPM
61,Todd Terje,Inspector Norse,Dance,2012,G,minor,6:59,120BPM
62,ANOHNI,Drone Bomb Me,Pop,2016,D,major,4:11,74BPM
63,Gotye feat. Kimbra,Somebody That I Used to Know,Pop,2011,,,,
64,The War on Drugs,Under the Pressure,Rock,2014,F♯/G♭,major,8:52,134BPM
65,Cloud Nothings,I'm Not Part of Me,Rock,2014,,,,
66,St. Vincent,New York,Pop,2017,A♯/B♭,major,2:35,138BPM
67,David Bowie,Where Are We Now?,Pop,2013,C,major,4:08,80BPM
68,Disclosure feat. AlunaGeorge,White Noise,Dance,2013,,,,
69,Charli XCX,Boys,Pop,2017,D,major,2:43,140BPM
70,Radiohead,Burn the Witch,Pop,2016,B,major,3:41,149BPM
71,Grimes,REALiTi,Pop,2015,A,major,5:07,115BPM
72,Bat for Lashes,Laura,Pop,2012,G,major,4:26,97BPM
73,DJ Koze,Pick Up,Dance,2018,F,major,6:38,125BPM
74,Fiona Apple,Every Single Night,Pop,2012,C,major,3:30,124BPM
75,Alabama Shakes,Hold On,Rock,2011,F,major,3:46,88BPM
76,Jamie xx,Gosh ,Dance,2015,A♯/B♭,minor,4:51,139BPM
77,Run the Jewels feat. Zack de la Rocha,Close Your Eyes (And Count to Fuck),Hip Hop,2014,,,,
78,Vampire Weekend,Diane Young,Rock,2013,B,major,2:40,87BPM
79,Thom Yorke,Dawn Chorus,Pop,2019,G,major,5:23,139BPM
80,Foals,Spanish Sahara,Rock,2010,A,minor,6:50,128BPM
81,Pusha T,If You Know You Know,Hip Hop,2018,F♯/G♭,minor,3:22,76BPM
82,Drake,Nice for What,Hip Hop,2018,G♯/A♭,major,3:31,93BPM
83,The xx,On Hold,Dance,2016,C,major,3:44,125BPM
84,Phosphorescent,Song for Zula,Pop,2013,E,major,6:10,86BPM
85,Kurt Vile,Pretty Pimpin' ,Rock,2015,G♯/A♭,major,4:59,91BPM
86,Gorillaz,On Melancholy Hill,Pop,2010,D,major,3:54,120BPM
87,Lucy Dacus,Night Shift,Rock,2017,A,major,6:32,86BPM
88,Radiohead,True Love Waits,Rock,2016,C,major,4:43,136BPM
89,Deafheaven,Dream House,Rock,2013,G,major,9:15,82BPM
90,Phoebe Bridgers,Motion Sickness,Rock,2017,C♯/D♭,major,3:50,107BPM
91,Grimes,Flesh Without Blood,Pop,2015,G♯/A♭,major,4:25,156BPM
92,Kendrick Lamar,Swimming Pools (Drank),Hip Hop,2012,G♯/A♭,major,4:08,74BPM
93,Crystal Castles feat. Robert Smith,Not in Love,Pop,2010,,,,
94,Grimes,Genesis,Pop,2012,A♯/B♭,minor,4:15,166BPM
95,Angel Olsen,Lark,Pop,2019,G,major,6:19,99BPM
96,Courtney Barnett,Avant Gardener,Rock,2013,C,major,5:12,115BPM
97,Deerhunter,Desire Lines,Rock,2010,D,major,6:44,121BPM
98,Destroyer,Kaputt,Pop,2011,E,major,6:18,110BPM
99,Major Lazer feat. Amber Coffman,Get Free,Pop,2012,,,,
100,boygenius,Me & My Dog,Rock,2018,,,,
101,Kendrick Lamar,i,Hip Hop,2014,G♯/A♭,major,5:36,120BPM
102,Sufjan Stevens,Fourth of July,Pop,2015,F♯/G♭,minor,4:39,120BPM
103,Foster the People,Pumped Up Kicks,Pop,2010,F,minor,4:00,128BPM
104,Julia Holter,Feel You ,Pop,2015,A,minor,4:09,142BPM
105,Kanye West,New Slaves,Hip Hop,2013,C♯/D♭,major,4:16,141BPM
106,St. Vincent,Cruel,Pop,2011,C♯/D♭,major,3:35,115BPM
107,Tame Impala,Elephant,Rock,2012,A,minor,3:31,123BPM
108,CHVRCHES,The Mother We Share,Pop,2012,C♯/D♭,major,3:10,174BPM
109,Big Boi feat. Cutty,Shutterbugg,Hip Hop,2010,,,,
110,Rihanna,Bitch Better Have My Money,Hip Hop,2015,C♯/D♭,major,3:39,103BPM
111,Arcade Fire,Ready to Start,Rock,2010,A,major,4:16,190BPM
112,Migos feat. Lil Uzi Vert,Bad and Boujee,Hip Hop,2016,,,,
113,James Blake,CMYK,Dance,2010,A,minor,3:39,139BPM
114,"Danny Brown feat. Kendrick Lamar, Ab-Soul and Earl Sweatshirt",Really Doe,Hip Hop,2016,,,,
115,FKA twigs,Water Me,Pop,2013,A♯/B♭,minor,3:25,120BPM
116,Lykke Li,I Follow Rivers,Pop,2011,A,minor,3:48,122BPM
117,PJ Harvey,The Words That Maketh Murder,Rock,2011,D,minor,3:46,158BPM
118,Perfume Genius,Slip Away,Pop,2017,C♯/D♭,major,2:45,137BPM
119,alt-J,Breezeblocks,Pop,2012,F,major,3:47,150BPM
120,Yeah Yeah Yeahs,Sacrilege,Rock,2013,A,major,3:50,120BPM
121,Donnie Trumpet & The Social Experiment feat. Jamila Woods,Sunday Candy ,Hip Hop,2015,,,,
122,First Aid Kit,Emmylou,Pop,2012,F♯/G♭,major,4:18,88BPM
123,Florence + The Machine,Shake It Out,Pop,2011,,,,
124,Radiohead,Daydreaming,Pop,2016,A,minor,6:24,138BPM
125,A$AP Rocky,Peso,Hip Hop,2011,,,,
126,Parquet Courts,Stoned and Starving,Rock,2012,F,major,5:12,85BPM
127,"Kanye West, Big Sean, Pusha T and 2 Chainz",Mercy,Hip Hop,2012,,,,
128,Nick Cave & The Bad Seeds,I Need You,Rock,2016,,,,
129,Jenny Hval,Conceptual Romance,Pop,2016,F♯/G♭,major,4:32,83BPM
130,Father John Misty,Chateau Lobby #4 (in C for Two Virgins),Pop,2014,,,,
131,FKA twigs,Sad Day,Pop,2019,C,minor,4:16,137BPM
132,Jenny Hval,Ashes to Ashes,Pop,2019,F,major,4:15,108BPM
133,Weyes Blood,Movies,Pop,2019,D,minor,5:54,112BPM
134,TNGHT,Higher Ground,Dance,2012,F♯/G♭,major,3:19,161BPM
135,EMA,California,Rock,2011,F,major,4:35,86BPM
136,Kendrick Lamar,"Bitch, Don't Kill My Vibe",Hip Hop,2012,,,,
137,Bon Iver,"Hey, Ma",Pop,2019,A,minor,3:37,144BPM
138,The War on Drugs,Thinking of a Place,Rock,2017,B,major,11:11,103BPM
139,Grizzly Bear,Yet Again,Rock,2012,E,minor,5:18,136BPM
140,The National,The System Only Dreams in Total Darkness,Rock,2017,C,minor,3:57,110BPM
141,Vampire Weekend,Ya Hey,Pop,2013,B,major,5:13,92BPM
142,The 1975,Somebody Else,Pop,2016,C,major,5:48,101BPM
143,Playboi Carti,Magnolia,Hip Hop,2017,B,minor,3:02,163BPM
144,The xx,Angels,Rock,2012,A,major,2:52,92BPM
145,Viet Cong,Continental Shelf,Rock,2014,,,,
146,Disclosure,When a Fire Starts to Burn,Dance,2013,G,major,4:44,124BPM
147,Metronomy,The Look,Pop,2011,A,minor,4:38,85BPM
148,Girls,Vomit,Rock,2011,E,minor,6:24,118BPM
149,Adele,Hello ,Pop,2015,F,minor,4:55,158BPM
150,Aphex Twin,Minipops 67 [120.2][source field mix],Dance,2014,,,,
151,St. Vincent,Los Ageless,Pop,2017,F,minor,4:41,99BPM
152,Peggy Gou,Starry Night,Dance,2019,,,,
153,Purity Ring,Fineshrine,Pop,2012,F,minor,3:30,130BPM
154,LCD Soundsystem,Call the Police,Rock,2017,D,major,6:59,151BPM
155,The Black Keys,Tighten Up,Rock,2010,F♯/G♭,minor,3:31,109BPM
156,Bon Iver,Perth,Pop,2011,C,minor,4:22,120BPM
157,Drake,0 to 100 / The Catch Up,Hip Hop,2014,,,,
158,Nick Cave & The Bad Seeds,Bright Horses,Pop,2019,,,,
159,Kanye West,Bound 2,Hip Hop,2013,C♯/D♭,major,3:49,149BPM
160,Cults,Go Outside,Pop,2010,D,major,3:23,78BPM
161,tUnE-yArDs,Bizness,Pop,2011,A♯/B♭,minor,4:24,111BPM
162,Slowdive,Star Roving,Rock,2017,A,major,5:39,144BPM
163,Bobby Shmurda,Hot Nigga,Hip Hop,2014,,,,
164,ANOHNI,4 Degrees,Pop,2015,A♯/B♭,minor,3:52,113BPM
165,iLoveMakonnen,Club Goin' Up on a Tuesday / Tuesday (feat. Drake),Hip Hop,2014,,,,
166,Arca,Desafío,Pop,2017,C♯/D♭,minor,3:53,161BPM
167,Dirty Projectors,Gun Has No Trigger,Pop,2012,A,minor,3:24,101BPM
168,El Guincho,Bombay,Rock,2010,G,major,3:39,107BPM
169,Savages,Husbands,Rock,2012,F♯/G♭,minor,3:04,175BPM
170,Young M.A.,Ooouuu,Hip Hop,2016,,,,
171,Against Me!,Transgender Dysphoria Blues,Rock,2014,,,,
172,Nick Cave & The Bad Seeds,Jesus Alone,Rock,2016,,,,
173,Jon Hopkins,Open Eye Signal,Dance,2013,C,major,7:49,122BPM
174,Spiritualized,Hey Jane,Rock,2012,D,major,8:52,167BPM
175,Kurt Vile,Wakin on a Pretty Day,Rock,2013,B,major,9:31,102BPM
176,Weyes Blood,Andromeda,Pop,2019,C♯/D♭,minor,4:40,131BPM
177,CHVRCHES,Recover,Pop,2013,G,major,3:44,170BPM
178,Metronomy,The Bay,Pop,2011,F♯/G♭,minor,4:50,121BPM
179,Luis Fonsi and Daddy Yankee,Despacito / Despacito (Remix feat. Justin Bieber),Pop,2017,,,,
180,Charlotte Gainsbourg,Deadly Valentine,Pop,2017,B,major,6:05,105BPM
181,Helado Negro,Running,Pop,2019,G♯/A♭,major,4:25,120BPM
182,Pusha T,Numbers On the Boards,Hip Hop,2013,C,minor,2:44,88BPM
183,Parquet Courts,Wide Awake,Rock,2018,G♯/A♭,major,2:39,122BPM
184,Courtney Barnett & Kurt Vile,Over Everything,Rock,2017,,,,
185,Purple Mountains,All My Happiness Is Gone,Rock,2019,G,major,4:20,138BPM
186,Christine and The Queens,Christine [2014]/Tilted [2015],Pop,2014,,,,
187,Fever Ray,To the Moon and Back,Pop,2017,F,major,4:38,105BPM
188,Peggy Gou,It Makes You Forget (Itgehane),Dance,2018,C,major,6:35,125BPM
189,Weyes Blood,Everyday,Pop,2019,D,major,5:07,113BPM
190,Radiohead,Lotus Flower,Pop,2011,D,minor,5:00,128BPM
191,Stormzy,Vossi Bop,Hip Hop,2019,G♯/A♭,major,3:16,188BPM
192,Bon Iver,"33 ""God""",Pop,2016,,,,
193,Sharon Van Etten,Every Time the Sun Comes Up,Pop,2014,C♯/D♭,major,4:23,100BPM
194,Fontaines D.C.,Big,Rock,2019,E,major,1:46,182BPM
195,Todd Terje & Bryan Ferry,Johnny and Mary,Pop,2014,,,,
196,Tame Impala,Borderline,Pop,2019,C,minor,4:34,98BPM
197,Sleigh Bells,Rill Rill,Pop,2010,C♯/D♭,minor,3:50,73BPM
198,Girl Unit,Wut,Dance,2010,F,minor,6:59,140BPM
199,Slowdive,Sugar for the Pill,Rock,2017,G,major,4:31,98BPM
200,Titus Andronicus,A More Perfect Union,Rock,2010,C,major,7:10,176BPM
201,DaBaby,Suge,Hip Hop,2019,D,minor,2:43,75BPM
202,Kendrick Lamar,Sing About Me (I'm Dying of Thirst),Hip Hop,2012,,,,
203,Vampire Weekend,This Life,Pop,2019,A,major,4:29,170BPM
204,Blawan,Why They Hide Their Bodies Under My Garage?,Dance,2012,,,,
205,D.R.A.M. feat. Lil Yachty,Broccoli,Hip Hop,2016,,,,
206,Savages,Shut Up,Rock,2013,G,major,4:48,176BPM
207,Natalia Lafourcade,Hasta la raíz,Pop,2015,D♯/E♭,major,3:42,153BPM
208,Drake,Know Yourself,Hip Hop,2015,B,minor,4:36,114BPM
209,Rich Gang feat. Young Thug and Rich Homie Quan,Lifestyle,Hip Hop,2014,,,,
210,Bon Iver,Calgary,Pop,2011,B,major,4:10,120BPM
211,Mount Eerie,Real Death,Rock,2017,A,minor,2:28,76BPM
212,Daft Punk feat. Panda Bear,Doin' It Right,Pop,2013,,,,
213,J Balvin feat. Willy William,Mi Gente / Mi Gente (Remix feat. Beyoncé),Dance,2017,,,,
214,Death Grips,I've Seen Footage,Hip Hop,2012,,,,
215,DJ Shadow feat. Run the Jewels,Nobody Speak,Hip Hop,2016,,,,
216,Missy Elliott feat. Pharrell Williams,WTF (Where They From),Hip Hop,2015,,,,
217,Nicki Minaj feat. 2 Chainz,Beez in the Trap,Hip Hop,2012,,,,
218,(Sandy) Alex G,Gretel,Rock,2019,,,,
219,Tegan and Sara,Closer,Pop,2012,C,major,3:29,137BPM
220,Chief Keef feat. Lil Reese,I Don't Like,Hip Hop,2012,,,,
221,Arcade Fire,We Used to Wait,Rock,2010,G♯/A♭,major,5:01,121BPM
222,Waka Flocka Flame,Hard in da Paint,Hip Hop,2010,D♯/E♭,minor,4:03,143BPM
223,Kavinsky feat. Lovefoxxx,Nightcall,Pop,2010,,,,
224,The Strokes,Under Cover of Darkness,Rock,2011,B,major,3:56,200BPM
225,The Horrors,Still Life,Rock,2011,G,major,5:21,170BPM
226,Charli XCX,Boom Clap,Pop,2014,E,major,2:50,92BPM
227,Vampire Weekend,Giving Up the Gun,Pop,2010,A,major,4:46,134BPM
228,Björk,Stonemilker,Pop,2015,D,major,6:49,61BPM
229,The Carters,APESHIT,Hip Hop,2018,D,major,4:25,160BPM
230,Foals,My Number,Rock,2012,F♯/G♭,minor,4:01,128BPM
231,Haim,Summer Girl,Pop,2019,C♯/D♭,minor,3:25,100BPM
232,Savages,Adore,Rock,2016,E,minor,5:03,99BPM
233,Sky Ferreira,I Blame Myself,Pop,2013,C♯/D♭,major,3:57,115BPM
234,Caroline Polachek,So Hot Youre Hurting My Feelings,Pop,2019,,,,
235,YG feat. Nipsey Hussle,FDT (Fuck Donald Trump),Hip Hop,2016,,,,
236,Le1f,Wut,Hip Hop,2012,G♯/A♭,major,2:47,93BPM
237,Marie Davidson,Work It,Dance,2018,B,minor,4:20,130BPM
238,Future,March Madness ,Hip Hop,2015,G♯/A♭,major,3:49,180BPM
239,LCD Soundsystem,Drunk Girls,Rock,2010,E,major,3:42,144BPM
240,alt-J,Left Hand Free,Rock,2014,D♯/E♭,major,2:54,102BPM
241,Cut Copy,Need You Now,Pop,2011,C♯/D♭,major,6:09,122BPM
242,Todd Terje,Strandbar,Dance,2013,D,major,4:28,122BPM
243,PJ Harvey,The Wheel,Rock,2016,G♯/A♭,major,5:38,138BPM
244,Lorde,Perfect Places,Pop,2017,C♯/D♭,minor,3:42,104BPM
245,Kendrick Lamar,Backseat Freestyle,Hip Hop,2012,C♯/D♭,major,3:33,78BPM
246,Lana Del Rey,Love,Pop,2017,A♯/B♭,major,4:33,99BPM
247,Palma Violets,Best of Friends,Rock,2012,C,major,3:33,129BPM
248,Bon Iver,22 (Over Soon),Pop,2016,,,,
249,Kanye West,Famous,Hip Hop,2016,F♯/G♭,major,3:16,174BPM
250,Jack White,Lazaretto,Rock,2014,F♯/G♭,minor,3:39,118BPM
251,Warpaint,Undertow,Rock,2010,F♯/G♭,minor,5:53,104BPM
252,Unknown Mortal Orchestra,Multi-Love,Pop,2015,D♯/E♭,minor,4:11,120BPM
253,Courtney Barnett,"Nameless, Faceless",Rock,2018,F,minor,3:15,122BPM
254,Denzel Curry,Ricky,Hip Hop,2019,A,major,2:28,169BPM
255,Sheck Wes,Mo Bamba,Hip Hop,2017,F♯/G♭,minor,3:01,146BPM
256,Phoenix,Entertainment!,Pop,2013,,,,
257,Thom Yorke,Suspirium,Pop,2018,C♯/D♭,minor,3:22,151BPM
258,"Jay Rock, Kendrick Lamar, Future & James Blake",King's Dead,Hip Hop,2018,,,,
259,Travis Scott & Young Thug feat. Quavo,Pick Up the Phone,Hip Hop,2016,,,,
260,Soccer Mommy,Your Dog,Pop,2018,B,minor,3:14,115BPM
261,Andrés,New for U,Dance,2012,,,,
262,Migos,T-Shirt,Hip Hop,2017,G♯/A♭,major,4:02,139BPM
263,Queens of the Stone Age,My God Is the Sun,Rock,2013,B,minor,3:55,161BPM
264,Taylor Swift,We Are Never Ever Getting Back Together,Pop,2012,G,major,3:13,172BPM
265,Better Oblivion Community Center,Dylan Thomas,Rock,2019,D,major,3:37,116BPM
266,Rick Ross feat. Styles P,B.M.F. (Blowin' Money Fast),Hip Hop,2010,,,,
267,Gang Gang Dance,Glass Jar,Rock,2011,F♯/G♭,minor,11:22,166BPM
268,Todd Terje,Delorean Dynamite,Dance,2014,C♯/D♭,major,6:46,124BPM
269,"DJ Khaled feat. Drake, Rick Ross and Lil Wayne",I'm on One,Hip Hop,2011,,,,
270,Katy B,Katy on a Mission,Dance,2010,G♯/A♭,major,3:39,140BPM
271,Kurt Vile,Jesus Fever,Rock,2011,C,minor,3:46,128BPM
272,Kaytranada,Lite Spots,Dance,2016,C♯/D♭,major,3:51,120BPM
273,Neko Case,Man,Rock,2013,C,minor,3:31,151BPM
274,Perfume Genius,Hood,Pop,2012,G,major,2:00,111BPM
275,The War on Drugs,An Ocean in Between the Waves,Rock,2014,F,major,7:12,167BPM
276,Sleaford Mods,Tied Up in Nottz,Rock,2014,C♯/D♭,major,2:42,151BPM
277,Tame Impala,'Cause I'm a Man,Pop,2015,,,,
278,Lykke Li,No Rest for the Wicked,Pop,2014,B,minor,3:43,98BPM
279,Father John Misty,Hollywood Forever Cemetery Sings,Rock,2012,A,major,3:11,94BPM
280,Megan Thee Stallion feat. DaBaby,Cash Shit,Hip Hop,2019,,,,
281,Caribou,Sun,Dance,2010,C♯/D♭,major,5:45,128BPM
282,Arctic Monkeys,R U Mine?,Rock,2012,F♯/G♭,minor,3:20,97BPM
283,The Chemical Brothers,Got to Keep On,Dance,2019,F♯/G♭,minor,5:17,125BPM
284,CHVRCHES,Leave a Trace,Pop,2015,A,major,3:57,100BPM
285,Beach House,Space Song ,Rock,2015,C,minor,5:20,147BPM
286,Jack White,Sixteen Saltines,Rock,2012,B,minor,2:36,132BPM
287,Lana Del Rey,High by the Beach,Pop,2015,B,minor,4:18,132BPM
288,Triángulo de Amor Bizarro,De la monarquía a la criptocracia,Rock,2010,B,major,3:06,145BPM
289,St. Vincent,Prince Johnny,Pop,2014,G,major,4:37,75BPM
290,Interpol,All The Rage Back Home,Rock,2014,G,major,4:22,84BPM
291,Beach House,Lemon Glow,Rock,2018,C,major,4:05,148BPM
292,Titus Andronicus,Dimed Out ,Rock,2015,A,major,2:57,95BPM
293,Daft Punk feat. Giorgio Moroder,Giorgio by Moroder,Dance,2013,,,,
294,James Blake feat. Bon Iver,I Need a Forest Fire,Pop,2016,,,,
295,Sleater-Kinney,Bury Our Friends,Rock,2014,B,minor,3:24,120BPM
296,Jay-Z,The Story of O.J.,Hip Hop,2017,,,,
297,Iggy Pop,Gardenia,Rock,2016,B,major,4:14,96BPM
298,David Bowie,The Stars (Are Out Tonight),Rock,2013,F♯/G♭,minor,3:57,136BPM
299,Jamie xx,Far Nearer,Dance,2011,C,major,6:51,127BPM
300,Savages,She Will,Rock,2013,G,major,3:27,155BPM
301,Hot Chip,I Feel Better,Pop,2010,C,minor,4:40,125BPM
302,"Killer Mike feat. Bun B, T.I. & Trouble",Big Beast,Hip Hop,2012,,,,
303,The xx,Say Something Loving,Rock,2017,C,minor,3:58,130BPM
304,tUnE-yArDs,Water Fountain,Pop,2014,C♯/D♭,major,3:03,110BPM
305,Kingdom feat. Kelela,Bank Head,Dance,2013,,,,
306,Sun Kil Moon,Ben's My Friend,Rock,2014,,,,
307,Foxygen,San Francisco,Pop,2013,A♯/B♭,major,3:48,117BPM
308,The Morning Benders,Excuses,Pop,2010,F,major,5:17,96BPM
309,Lizzo,Boys,Hip Hop,2018,C♯/D♭,minor,2:53,120BPM
310,Addison Groove,Footcrab,Dance,2010,,,,
311,Lana Del Rey,Blue Jeans,Pop,2011,D♯/E♭,major,3:29,118BPM
312,Nick Cave & The Bad Seeds,Higgs Boson Blues,Rock,2013,,,,
313,Glass Candy,Warm in the Winter,Dance,2011,F♯/G♭,major,6:45,127BPM
314,Lana Del Rey,Doin' Time,Pop,2019,G,minor,3:22,145BPM
315,Little Dragon,Ritual Union,Pop,2011,C♯/D♭,major,3:30,144BPM
316,Drake,Worst Behavior,Hip Hop,2013,A,major,4:30,110BPM
317,"Kanye West Feat. Allan Kingdom, Theophilus London, Paul McCartney",All Day ,Hip Hop,2015,,,,
318,Mosca,Bax,Dance,2011,B,minor,5:33,134BPM
319,Danny Brown,Dirty Laundry,Hip Hop,2019,D,major,3:04,174BPM
320,A$AP Ferg feat. A$AP Rocky,Shabba,Hip Hop,2013,,,,
321,Parquet Courts,Human Performance,Rock,2016,F♯/G♭,minor,4:16,110BPM
322,Joanna Newsom,Sapokanikan,Pop,2015,,,,
323,black midi,953,Rock,2019,F♯/G♭,major,5:21,124BPM
324,Foals,Inhaler,Rock,2012,D,minor,4:53,97BPM
325,Young Thug feat. Birdman,Constantly Hating,Hip Hop,2015,,,,
326,Drake,God's Plan,Hip Hop,2018,,,,
327,The War on Drugs,Holding On,Rock,2017,F♯/G♭,major,5:51,150BPM
328,Pusha T,The Story of Adidon,Hip Hop,2018,,,,
329,WU LYF,We Bros,Rock,2011,A♯/B♭,major,6:27,128BPM
330,Hot Chip,Huarache Lights,Pop,2015,D,major,5:29,114BPM
331,Beirut,Santa Fe,Pop,2011,B,major,4:14,132BPM
332,Iggy Azalea feat. Charli XCX,Fancy,Hip Hop,2014,,,,
333,Deerhunter,Monomania,Rock,2013,A,major,5:19,122BPM
334,Japandroids,Younger Us,Rock,2010,E,major,3:35,92BPM
335,Villagers,Becoming a Jackal,Pop,2010,C,major,3:22,150BPM
336,El-P,The Full Retard,Hip Hop,2012,G♯/A♭,major,3:40,110BPM
337,Speedy Ortiz,No Below,Rock,2013,A,major,3:44,112BPM
338,Sigrid,Don't Kill My Vibe,Pop,2017,,,,
339,Hudson Mohawke,Ryderz,Dance,2015,D,major,2:42,168BPM
340,Beach House,Sparks,Rock,2015,D♯/E♭,major,5:21,96BPM
341,James Blake,If the Car Beside You Moves Ahead,Pop,2018,G,major,4:23,87BPM
342,alt-J,Hunger of the Pine,Pop,2014,G,major,4:59,94BPM
343,The National,Graceless,Rock,2013,C♯/D♭,minor,4:35,172BPM
344,Gil Scott-Heron & Jamie xx,I'll Take Care of U,Dance,2011,,,,
345,St. Vincent,Surgeon,Pop,2011,A,minor,4:25,140BPM
346,Kacey Musgraves,Merry Go 'Round,Pop,2012,F♯/G♭,major,3:27,87BPM
347,Neon Indian,Polish Girl,Pop,2011,A,minor,4:24,112BPM
348,Of Monsters and Men,Little Talks,Pop,2011,C♯/D♭,major,4:27,103BPM
349,The Vaccines,Post Break-Up Sex,Rock,2011,F,major,2:54,137BPM
350,Camp Cope,The Opener ,Rock,2018,G,major,3:40,97BPM
351,Kacey Musgraves,Follow Your Arrow,Pop,2013,F,major,3:19,196BPM
352,Chance the Rapper feat. Saba,Angels,Hip Hop,2015,,,,
353,Vince Staples,Big Fish,Hip Hop,2017,D♯/E♭,minor,3:18,100BPM
354,Tessela,Hackney Parrot,Dance,2013,A,major,5:44,173BPM
355,Tom Waits,Hell Broke Luce,Rock,2011,C,major,3:56,80BPM
356,Moses Sumney,Doomed,Pop,2017,C,major,4:23,68BPM
357,MGMT,Little Dark Age,Pop,2017,F♯/G♭,major,5:00,98BPM
358,Hot Chip,Flutes,Pop,2012,A♯/B♭,minor,7:05,118BPM
359,"A$AP Rocky feat. 2 Chainz, Drake and Kendrick Lamar",Fuckin' Problems,Hip Hop,2012,,,,
360,Metronomy,Love Letters,Pop,2014,A♯/B♭,minor,5:16,128BPM
361,"Future feat. Pharrell, Pusha T, & Casino",Move That Dope,Hip Hop,2014,,,,
362,Amen Dunes,Believe,Rock,2018,A♯/B♭,minor,5:46,95BPM
363,Deerhunter,Snakeskin ,Rock,2015,B,minor,4:21,94BPM
364,Charly Bliss,Capacity,Pop,2019,C♯/D♭,minor,3:42,110BPM
365,Jake Bugg,Lightning Bolt,Rock,2012,A,major,2:24,116BPM
366,First Aid Kit,My Silver Lining,Pop,2014,D,major,3:35,102BPM
367,Sleigh Bells,Tell 'Em,Rock,2010,C,major,2:56,63BPM
368,Jon Hopkins,Emerald Rush,Dance,2018,C♯/D♭,minor,5:37,107BPM
369,Lana Del Rey,Ride,Pop,2012,C,major,4:49,94BPM
370,Blawan,Getting Me Down,Dance,2011,,,,
371,Julio Bashmore,Battle for Middle You,Dance,2011,,,,
372,Bicep,Glue,Dance,2017,E,minor,4:29,130BPM
373,Caroline Polachek,Door,Pop,2019,D♯/E♭,major,5:23,124BPM
374,Wild Flag,Romance,Rock,2011,G,major,3:52,154BPM
375,Lorde,The Louvre,Pop,2017,C,major,4:31,123BPM
376,My Bloody Valentine,Only Tomorrow,Rock,2013,,,,
377,Foo Fighters,Rope,Rock,2011,B,minor,4:19,138BPM
378,Run the Jewels,Oh My Darling Dont Cry,Hip Hop,2014,,,,
379,Destroyer,Chinatown,Pop,2011,B,minor,3:49,114BPM
380,Migos feat. Drake,Versace (Remix),Hip Hop,2013,,,,
381,Bilderbuch,Maschin,Pop,2013,C,major,3:29,180BPM
382,Cults,Abducted,Pop,2011,A,major,2:53,150BPM
383,Kendrick Lamar,Untitled 07 | 2014 - 2016 (levitate),Hip Hop,2016,,,,
384,(Sandy) Alex G,Bobby,Pop,2017,,,,
385,Fontaines D.C.,Boys in the Better Land,Rock,2018,A,major,4:26,155BPM
386,King Krule,Easy Easy,Rock,2013,E,major,2:50,147BPM
387,Cold Cave,The Great Pan Is Dead,Pop,2011,C,major,4:06,150BPM
388,Foals,What Went Down,Rock,2015,D,minor,5:01,147BPM
389,Royal Blood,Figure It Out,Rock,2014,C,major,3:04,108BPM
390,Kanye West,Father Stretch My Hands,Hip Hop,2016,,,,
391,alt-J,Every Other Freckle,Pop,2014,D,major,3:36,144BPM
392,Valee feat. Jeremih,Womp Womp,Hip Hop,2018,,,,
393,Wild Beasts,Wanderlust,Pop,2014,C,major,4:56,140BPM
394,Avicii,Levels,Dance,2011,C♯/D♭,minor,5:39,126BPM
395,John Talabot feat. Pional,Destiny,Dance,2012,,,,
396,Metronomy,Salted Caramel Ice Cream,Pop,2019,B,major,3:30,125BPM
397,Hurts,Wonderful Life,Pop,2010,B,minor,4:14,120BPM
398,The Vaccines,If You Wanna,Rock,2011,D,major,2:54,165BPM
399,Danny Brown,Ain't It Funny,Hip Hop,2016,,,,
400,Courtney Barnett,Need a Little Time,Rock,2018,C,major,3:58,102BPM
401,Sufjan Stevens,I Walked,Pop,2010,G,major,5:03,130BPM
402,The Libertines,Gunga Din,Rock,2015,F♯/G♭,minor,2:59,135BPM
